código,nome,nome completo,ispb
350.0,CREHNOR LARANJEIRAS,COOPERATIVA DE CRÉDITO RURAL DE PEQUENOS AGRICULTORES E DA REFORMA AGRÁRIA DO CE,01330387
352.0,TORO CTVM S.A.,TORO CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,29162769
355.0,ÓTIMO SCD S.A.,ÓTIMO SOCIEDADE DE CRÉDITO DIRETO S.A.,34335592
358.0,MIDWAY S.A. - SCFI,"MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",09464032
359.0,ZEMA CFI S/A,"ZEMA CRÉDITO, FINANCIAMENTO E INVESTIMENTO S/A",05351887
360.0,TRINUS CAPITAL DTVM,TRINUS CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,02276653
362.0,CIELO IP S.A.,CIELO S.A. - INSTITUIÇÃO DE PAGAMENTO,01027058
363.0,SINGULARE CTVM S.A.,SINGULARE CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,62285390
364.0,EFÍ S.A. - IP,EFÍ S.A. - INSTITUIÇÃO DE PAGAMENTO,09089356
365.0,SIMPAUL,SIMPAUL CORRETORA DE CAMBIO E VALORES MOBILIARIOS  S.A.,68757681
366.0,BCO SOCIETE GENERALE BRASIL,BANCO SOCIETE GENERALE BRASIL S.A.,61533584
367.0,VITREO DTVM S.A.,VITREO DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,34711571
368.0,BCO CSF S.A.,Banco CSF S.A.,08357240
370.0,BCO MIZUHO S.A.,Banco Mizuho do Brasil S.A.,61088183
371.0,WARREN CVMC LTDA,WARREN CORRETORA DE VALORES MOBILIÁRIOS E CÂMBIO LTDA.,92875780
373.0,UP.P SEP S.A.,UP.P SOCIEDADE DE EMPRÉSTIMO ENTRE PESSOAS S.A.,35977097
374.0,REALIZE CFI S.A.,"REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.",27351731
376.0,BCO J.P. MORGAN S.A.,BANCO J.P. MORGAN S.A.,33172537
377.0,BMS SCD S.A.,BMS SOCIEDADE DE CRÉDITO DIRETO S.A.,17826860
378.0,BCO BRASILEIRO DE CRÉDITO S.A.,BANCO BRASILEIRO DE CRÉDITO SOCIEDADE ANÔNIMA,01852137
379.0,CECM COOPERFORTE,COOPERFORTE - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DE FUNCIONÁRIOS DE INSTITU,01658426
380.0,PICPAY,PICPAY INSTITUIçãO DE PAGAMENTO S.A.,22896431
381.0,BCO MERCEDES-BENZ S.A.,BANCO MERCEDES-BENZ DO BRASIL S.A.,60814191
382.0,FIDUCIA SCMEPP LTDA,FIDÚCIA SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE L,04307598
383.0,EBANX IP LTDA.,EBANX INSTITUICAO DE PAGAMENTOS LTDA.,21018182
384.0,GLOBAL SCM LTDA,GLOBAL FINANÇAS SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO,11165756
385.0,CECM DOS TRAB.PORT. DA G.VITOR,COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS TRABALHADORES PORTUARIOS DA GRANDE V,03844699
386.0,NU FINANCEIRA S.A. CFI,"NU FINANCEIRA S.A. - Sociedade de Crédito, Financiamento e Investimento",30680829
387.0,BCO TOYOTA DO BRASIL S.A.,Banco Toyota do Brasil S.A.,03215790
389.0,BCO MERCANTIL DO BRASIL S.A.,Banco Mercantil do Brasil S.A.,17184037
390.0,BCO GM S.A.,BANCO GM S.A.,59274605
391.0,CCR DE IBIAM,COOPERATIVA DE CREDITO RURAL DE IBIAM - SULCREDI/IBIAM,08240446
393.0,BCO VOLKSWAGEN S.A,Banco Volkswagen S.A.,59109165
394.0,BCO BRADESCO FINANC. S.A.,Banco Bradesco Financiamentos S.A.,07207996
395.0,F D GOLD DTVM LTDA,F.D'GOLD - DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,08673569
396.0,HUB IP S.A.,HUB INSTITUIÇÃO DE PAGAMENTO S.A.,13884775
397.0,LISTO SCD S.A.,LISTO SOCIEDADE DE CREDITO DIRETO S.A.,34088029
398.0,IDEAL CTVM S.A.,IDEAL CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,31749596
399.0,KIRTON BANK,Kirton Bank S.A. - Banco Múltiplo,01701201
400.0,COOP CREDITAG,"COOPERATIVA DE CRÉDITO, POUPANÇA E SERVIÇOS FINANCEIROS DO CENTRO OESTE - CREDIT",05491616
401.0,IUGU IP S.A.,IUGU INSTITUIÇÃO DE PAGAMENTO S.A.,15111975
402.0,COBUCCIO S.A. SCFI,"COBUCCIO S/A - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTOS",36947229
403.0,CORA SCD S.A.,CORA SOCIEDADE DE CRÉDITO DIRETO S.A.,37880206
404.0,SUMUP SCD S.A.,SUMUP SOCIEDADE DE CRÉDITO DIRETO S.A.,37241230
406.0,ACCREDITO SCD S.A.,ACCREDITO - SOCIEDADE DE CRÉDITO DIRETO S.A.,37715993
407.0,ÍNDIGO INVESTIMENTOS DTVM LTDA.,ÍNDIGO INVESTIMENTOS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,00329598
408.0,BONUSPAGO SCD S.A.,BONUSPAGO SOCIEDADE DE CRÉDITO DIRETO S.A.,36586946
410.0,PLANNER SOCIEDADE DE CRÉDITO DIRETO,PLANNER SOCIEDADE DE CRÉDITO DIRETO S.A.,05684234
411.0,VIA CERTA FINANCIADORA S.A. - CFI,"Via Certa Financiadora S.A. - Crédito, Financiamento e Investimentos",05192316
412.0,SOCIAL BANK S/A,SOCIAL BANK BANCO MÚLTIPLO S/A,15173776
413.0,BCO BV S.A.,BANCO BV S.A.,01858774
414.0,LEND SCD S.A.,LEND SOCIEDADE DE CRÉDITO DIRETO S.A.,37526080
416.0,LAMARA SCD S.A.,LAMARA SOCIEDADE DE CRÉDITO DIRETO S.A.,19324634
418.0,ZIPDIN SCD S.A.,ZIPDIN SOLUÇÕES DIGITAIS SOCIEDADE DE CRÉDITO DIRETO S/A,37414009
419.0,NUMBRS SCD S.A.,NUMBRS SOCIEDADE DE CRÉDITO DIRETO S.A.,38129006
421.0,CC LAR CREDI,LAR COOPERATIVA DE CRÉDITO - LAR CREDI,39343350
422.0,BCO SAFRA S.A.,Banco Safra S.A.,58160789
423.0,COLUNA S.A. DTVM,COLUNA S/A DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS,00460065
425.0,SOCINAL S.A. CFI,"SOCINAL S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",03881423
426.0,NEON FINANCEIRA - CFI S.A.,"NEON FINANCEIRA - CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.",11285104
427.0,CRED-UFES,COOPERATIVA DE CREDITO DOS SERVIDORES DA UNIVERSIDADE FEDERAL DO ESPIRITO SANTO,27302181
428.0,CREDSYSTEM SCD S.A.,CREDSYSTEM SOCIEDADE DE CRÉDITO DIRETO S.A.,39664698
429.0,CREDIARE CFI S.A.,"Crediare S.A. - Crédito, financiamento e investimento",05676026
430.0,CCR SEARA,COOPERATIVA DE CREDITO RURAL SEARA - CREDISEARA,00204963
433.0,BR-CAPITAL DTVM S.A.,BR-CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,44077014
435.0,DELCRED SCD S.A.,DELCRED SOCIEDADE DE CRÉDITO DIRETO S.A.,38224857
438.0,TRUSTEE DTVM LTDA.,TRUSTEE DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,67030395
439.0,ID CTVM,ID CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,16695922
440.0,CREDIBRF COOP,CREDIBRF - COOPERATIVA DE CRÉDITO,82096447
442.0,MAGNETIS - DTVM,MAGNETIS - DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA,87963450
443.0,CREDIHOME SCD,CREDIHOME SOCIEDADE DE CRÉDITO DIRETO S.A.,39416705
444.0,TRINUS SCD S.A.,TRINUS SOCIEDADE DE CRÉDITO DIRETO S.A.,40654622
445.0,PLANTAE CFI,"PLANTAE S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",35551187
447.0,MIRAE ASSET CCTVM LTDA,"MIRAE ASSET WEALTH MANAGEMENT (BRAZIL) CORRETORA DE CÂMBIO, TÍTULOS E VALORES MO",12392983
448.0,HEMERA DTVM LTDA.,HEMERA DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,39669186
449.0,DM,DM SOCIEDADE DE CRÉDITO DIRETO S.A.,37555231
450.0,FITBANK IP,FITBANK INSTITUIÇÃO DE PAGAMENTOS ELETRÔNICOS S.A.,13203354
451.0,J17 - SCD S/A,J17 - SOCIEDADE DE CRÉDITO DIRETO S/A,40475846
452.0,CREDIFIT SCD S.A.,CREDIFIT SOCIEDADE DE CRÉDITO DIRETO S.A.,39676772
454.0,MÉRITO DTVM LTDA.,MÉRITO DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,41592532
455.0,FÊNIX DTVM LTDA.,FÊNIX DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,38429045
456.0,BCO MUFG BRASIL S.A.,Banco MUFG Brasil S.A.,60498557
457.0,UY3 SCD S/A,UY3 SOCIEDADE DE CRÉDITO DIRETO S/A,39587424
